Month,Year,Capacity,Gross Potential
7,2001,100,66
7,2001,100,102
7,2001,99,90
7,2001,99,94
7,2001,98,79
7,2001,98,93
7,2001,98,96
7,2001,97,65
7,2001,97,84
7,2001,97,89
7,2001,97,95
7,2001,97,96
7,2001,96,52
7,2001,96,54
7,2001,96,64
7,2001,96,71
7,2001,96,74
7,2001,96,77
7,2001,96,81
7,2001,96,84
7,2001,96,92
7,2001,95,92
7,2001,94,83
7,2001,94,92
7,2001,93,61
7,2001,93,92
7,2001,93,92
7,2001,93,92
7,2001,92,56
7,2001,92,65
7,2001,92,66
7,2001,92,71
7,2001,92,89
7,2001,91,71
7,2001,91,77
7,2001,91,79
7,2001,91,80
7,2001,91,83
7,2001,91,88
7,2001,90,64
7,2001,90,75
7,2001,90,80
7,2001,90,85
7,2001,90,95
7,2001,89,69
7,2001,89,76
7,2001,89,88
7,2001,89,88
7,2001,88,68
7,2001,88,86
7,2001,88,89
7,2001,87,60
7,2001,87,67
7,2001,87,71
7,2001,87,75
7,2001,87,78
7,2001,87,92
7,2001,86,68
7,2001,86,75
7,2001,86,79
7,2001,86,86
7,2001,85,73
7,2001,85,74
7,2001,84,73
7,2001,84,94
7,2001,83,69
7,2001,83,79
7,2001,82,68
7,2001,82,80
7,2001,81,59
7,2001,81,66
7,2001,81,86
7,2001,80,62
7,2001,80,72
7,2001,80,75
7,2001,80,85
7,2001,79,59
7,2001,79,65
7,2001,79,65
7,2001,79,74
7,2001,78,55
7,2001,77,55
7,2001,77,59
7,2001,76,56
7,2001,76,72
7,2001,75,62
7,2001,75,63
7,2001,73,58
7,2001,73,61
7,2001,73,62
7,2001,72,51
7,2001,71,57
7,2001,71,57
7,2001,71,58
7,2001,71,58
7,2001,70,40
7,2001,70,48
7,2001,70,55
7,2001,69,51
7,2001,69,52
7,2001,68,47
7,2001,68,55
7,2001,67,46
7,2001,67,47
7,2001,67,55
7,2001,66,37
7,2001,66,50
7,2001,65,36
7,2001,65,43
7,2001,65,53
7,2001,64,46
7,2001,63,43
7,2001,62,41
7,2001,61,48
7,2001,61,49
7,2001,59,33
7,2001,57,32
7,2001,57,47
7,2001,56,47
7,2001,55,27
7,2001,55,46
7,2001,51,45
7,2001,50,43
7,2001,42,22
7,2001,42,26
7,2001,37,23
